Unique ID,Image Path,Area,Coordinates,Crop Area,Status
0,test3.jpg,0,"(1047.0, 542.5, 106.0, 31.0)",4292,good
1,test3.jpg,10.49,"(743.5, 543.5, 103.0, 29.0)",3955,good
2,test3.jpg,14.88,"(539.0, 407.5, 108.0, 29.0)",4130,good
3,test3.jpg,18.49,"(305.5, 562.5, 105.0, 31.0)",4255,good
4,test3.jpg,6.08,"(1076.0, 315.5, 102.0, 31.0)",4144,good
5,test3.jpg,68.66,"(447.0, 876.0, 202.0, 50.0)",11872,max
6,test3.jpg,1.84,"(726.0, 875.5, 168.0, 33.0)",6942,max
Total Good Area,49.94
Max Area,68.66
